rust:event_dispatching,erlang:port_receive,port:message_queue_len,erlang:msg_byte_size,erlang:binary_to_term,chalk_pipeline:flush/0,erlang:term_to_binary,erlang:msg_byte_size,erlang:port_command
0.006803,0.415754,0,76,0.004007,0.000702,0.193134,792,0.005681
0.031158,0.15898,0,152,0.006462,0.001623,0.213563,792,0.013656
0.017232,0.099257,0,76,0.004789,0.001022,0.198875,792,0.010069
0.01612,0.099147,0,76,0.004599,0.001012,0.216538,792,0.009929
0.026259,0.12196,0,76,0.022172,0.001172,0.235284,792,0.012423
0.020629,0.14328,0,76,0.00509,0.001022,0.194366,792,0.011782
0.025879,0.096321,0,76,0.005911,0.001042,0.202462,792,0.012443
0.025468,0.075522,0,76,0.004629,0.000922,0.186431,792,0.011923
0.024095,0.08482,0,76,0.00514,0.001112,0.211989,792,0.012454
0.029005,0.105589,0,76,0.007304,0.001523,0.260681,792,0.014387
0.028674,0.103626,0,76,0.00522,0.001022,0.197161,792,0.011582
0.025067,0.089739,0,76,0.00504,0.001011,0.191021,792,0.012042
0.027703,0.10122,0,76,0.005791,0.001143,0.22809,792,0.014317
0.025729,0.109035,0,76,0.00515,0.000942,0.183626,792,0.012293
0.025217,0.106631,0,76,0.012394,0.002574,0.287532,792,0.018706
0.017092,0.125307,0,76,0.012764,0.002915,0.286009,792,0.017634
0.014226,0.112643,0,76,0.011772,0.002394,0.285889,792,0.016391
0.014527,0.105168,0,76,0.011622,0.002244,0.267445,792,0.015419
0.013285,0.081053,0,76,0.007013,0.001082,0.261333,792,0.011732
0.014707,0.065945,0,76,0.00564,0.000992,0.210447,792,0.012464
0.014558,0.082115,0,76,0.00536,0.001192,0.198083,792,0.011953
0.014427,0.085311,0,76,0.00555,0.000972,0.208773,792,0.011893
0.014928,0.250763,0,76,0.006172,0.001032,0.195208,792,0.012153
0.014488,0.083236,0,76,0.00523,0.000982,0.195288,792,0.011322
0.014688,0.292391,0,76,0.005881,0.001222,0.238801,792,0.013265
0.014057,0.08496,0,76,0.005861,0.001082,0.195929,792,0.012784
0.014707,0.088307,0,76,0.006602,0.001082,0.213272,792,0.012183
0.014587,0.095019,0,76,0.006944,0.001122,0.216658,792,0.012554
0.014637,0.085572,0,76,0.006562,0.001102,0.211208,792,0.012564
0.012944,0.083167,0,76,0.006722,0.001032,0.215627,792,0.012794
0.019046,0.075422,0,76,0.027823,0.001102,0.213653,792,0.011672
0.020519,0.089599,0,76,0.006612,0.001222,0.218472,792,0.011472
0.024245,0.123463,0,76,0.0107,0.002264,0.239101,792,0.01564
0.028193,0.166214,0,76,0.008035,0.001252,0.243349,792,0.01591
